conversations_path,session_path,apiConversation_path,mcp_path,relationship,note
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/integration_name,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/integration_icon_url,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/icon_name,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/context,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/approval_options,,,,envelope,non-null for MCP tool calls requiring user approval (v8); no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/approval_key,,,,envelope,non-null for MCP tool calls requiring user approval (v8); no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/approval_key_legacy,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/approval_key_legacy,,structurally_similar,"emission-style divergence, settled at conv v14: the export always emits the field (required; null when unused — 1842/1843 — else a real key string), the api emits it only when used (optional string, never null). Same underlying value; the 2026-07-05 export and the ba117cb9 capture exhibit the one real key on the same MCP tool call."
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/mcp_server_url,,,,envelope,non-null for connected MCP server tools (v8); MCP server origin tracking
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/display_content,,,,envelope,no MCP counterpart; claude.ai UI rendering hint
chat-exports/conversations#/definitions/ToolResultBlock,,,_reference/mcp#/definitions/ToolResultContent,subset,MCP adds _meta; export adds envelope fields; tool_use_id/is_error/structured_content snake_cased
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/type,code-agents/session#/definitions/ToolResultBlock/properties/type,,_reference/mcp#/definitions/ToolResultContent/properties/type,identical,
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/tool_use_id,code-agents/session#/definitions/ToolResultBlock/properties/tool_use_id,,_reference/mcp#/definitions/ToolResultContent/properties/toolUseId,subset,conv narrows to ToolId (^toolu_ pattern); CLI and MCP admit any string; MCP additionally camelCases (toolUseId)
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/content,,,_reference/mcp#/definitions/ToolResultContent/properties/content,structurally_similar,both are arrays of content items; MCP items via ContentBlock (union not expressed in our mcp snapshot); export uses ToolResultContentItem/ToolResultSearchItem/ToolResultLocalResource
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/is_error,code-agents/session#/definitions/ToolResultBlock/properties/is_error,,_reference/mcp#/definitions/ToolResultContent/properties/isError,snake_cased,CLI and conv use is_error; MCP uses isError
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/structured_content,,,_reference/mcp#/definitions/ToolResultContent/properties/structuredContent,null_in_export,always null; structured output not yet surfaced in claude.ai export
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/start_timestamp,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/start_timestamp,,coupled_relaxation,coupled relaxation completed: conv v13 and api v8 both relaxed null → Timestamp|null after real timestamps appeared on web_search results in the same conversations. No MCP counterpart.
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/stop_timestamp,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/stop_timestamp,,coupled_relaxation,coupled relaxation completed: conv v13 and api v8 both relaxed null → Timestamp|null after real timestamps appeared on web_search results in the same conversations. No MCP counterpart.
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/flags,,,,envelope,always null in observed exports
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/name,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/meta,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/meta,,coupled_relaxation,May be null or contain output format info: {output_format_category: 'md'|'none'|'other'}. Relaxed from always-null in v9/v3. No CLI or MCP counterpart.
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/message,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/integration_name,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/mcp_server_url,,,,envelope,non-null for connected MCP server tools (v8)
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/integration_icon_url,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/icon_name,,,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/display_content,,,,envelope,no MCP counterpart; claude.ai UI rendering hint
chat-exports/conversations#/definitions/ToolResultContentItem,,,_reference/mcp#/definitions/TextContent,structurally_similar,export adds uuid; MCP adds _meta/annotations; neither is a strict subset of the other
chat-exports/conversations#/definitions/ThinkingBlock/properties/thinking,code-agents/session#/definitions/ThinkingBlock/properties/thinking,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/summaries,,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/signature,code-agents/session#/definitions/ThinkingBlock/properties/signature,,,export_only,cryptographic signature for thinking block integrity
chat-exports/conversations#/definitions/ThinkingBlock/properties/cut_off,,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/truncated,,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/alternative_display_type,,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/start_timestamp,,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/stop_timestamp,,,,export_only,
chat-exports/conversations#/definitions/ThinkingBlock/properties/flags,,,,export_only,always null in observed exports
chat-exports/conversations#/definitions/TextBlock,code-agents/session#/definitions/TextBlock,browser-captures/apiConversation#/definitions/ApiTextBlock,_reference/mcp#/definitions/TextContent,subset,"CLI: {type, text}. ApiTextBlock adds citations/timestamps; omits flags (bulk-export-only null). MCP adds _meta/annotations. CLI is closest to MCP core."
,,browser-captures/apiConversation#/definitions/ApiTextBlock/properties/type,_reference/mcp#/definitions/TextContent/properties/type,identical,
,,browser-captures/apiConversation#/definitions/ApiTextBlock/properties/text,_reference/mcp#/definitions/TextContent/properties/text,identical,
,,browser-captures/apiConversation#/definitions/ApiTextBlock/properties/citations,,api_only,absent from MCP; API exposes citation granularity stripped from bulk export
chat-exports/conversations#/definitions/TextBlock/properties/citations_grouping_mode,,browser-captures/apiConversation#/definitions/ApiTextBlock/properties/citations_grouping_mode,,envelope,"Display grouping mode for citations. Observed value: ""combine"". No CLI or MCP counterpart."
,,browser-captures/apiConversation#/definitions/ApiTextBlock/properties/start_timestamp,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiTextBlock/properties/stop_timestamp,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase,code-agents/session#/definitions/ToolUseBlock,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase,_reference/mcp#/definitions/ToolUseContent,subset,"CLI: {type, id, name, input, caller}. Conv adds start_timestamp/stop_timestamp/flags/message/integration_*/icon_name/context/approval_*/is_mcp_app/mcp_server_url/display_content. MCP adds _meta/annotations. CLI uniquely adds caller (no MCP/conv counterpart)."
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/type,_reference/mcp#/definitions/ToolUseContent/properties/type,identical,
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/id,_reference/mcp#/definitions/ToolUseContent/properties/id,subset,api narrows to ToolId (^toolu_ pattern); MCP admits any string
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/name,_reference/mcp#/definitions/ToolUseContent/properties/name,identical,
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/input,_reference/mcp#/definitions/ToolUseContent/properties/input,identical,
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/message,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/start_timestamp,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/stop_timestamp,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/display_content,,envelope,no MCP counterpart; claude.ai UI rendering hint
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/integration_name,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/integration_icon_url,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/icon_name,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/is_mcp_app,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/is_mcp_app,,coupled_relaxation,"both sides NullableBoolean at 2026-08-24 latest - the null_in_api claim retired (true and false observed in capture 1a557fcf) and the conversations-only envelope row folded in; kind from the judgment class: an identity kind would mint a new ApiToolUseBlockBase/ToolUseBlockBase obligation though ToolUseContent already documents the four-name type"
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/mcp_server_url,,coupled_relaxation,non-null for connected MCP server tools (v2); matches conv v8 relaxation
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/context,,null_in_api,present in bulk export (required
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/approval_options,,coupled_relaxation,non-null for MCP tool calls requiring user approval (v2); matches conv v8 relaxation
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/approval_key,,coupled_relaxation,non-null for MCP tool calls requiring user approval (v2); matches conv v8 relaxation
,,browser-captures/apiConversation#/definitions/ApiToolUseBlockBase/properties/flags,,null_in_api,present in bulk export (required
chat-exports/conversations#/definitions/ToolResultBlockBase,code-agents/session#/definitions/ToolResultBlock,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase,_reference/mcp#/definitions/ToolResultContent,subset,"CLI: {type, tool_use_id, content, is_error}. Conv adds start_timestamp/stop_timestamp/flags/name/meta/message/integration_*/mcp_server_url/icon_name/display_content/structured_content. MCP adds _meta. CLI content is [string, array]; MCP content is array of content items."
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/type,_reference/mcp#/definitions/ToolResultContent/properties/type,identical,
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/tool_use_id,_reference/mcp#/definitions/ToolResultContent/properties/toolUseId,subset,api narrows to ToolId (^toolu_ pattern); MCP admits any string and camelCases (toolUseId)
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/content,_reference/mcp#/definitions/ToolResultContent/properties/content,structurally_similar,both arrays of content items
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/is_error,_reference/mcp#/definitions/ToolResultContent/properties/isError,snake_cased,
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/name,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/message,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/display_content,,envelope,no MCP counterpart; claude.ai UI rendering hint
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/integration_name,,envelope,no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiToolResultBlockBase/properties/icon_name,,envelope,no MCP counterpart
chat-exports/conversations#/definitions/ThinkingBlock,code-agents/session#/definitions/ThinkingBlock,browser-captures/apiConversation#/definitions/ApiThinkingBlock,,export_only,"CLI: {type, thinking, signature}. Conv adds summaries/cut_off/truncated/alternative_display_type/start_timestamp/stop_timestamp/flags. No MCP counterpart — extended thinking is not exposed via MCP."
,,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/index,,api_only,zero-based message position in conversation; no CLI or MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/truncated,,api_only,content truncation flag; no CLI or MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/sync_sources,,api_only,always empty in observed responses; no CLI or MCP counterpart
,code-agents/session#/definitions/AssistantMessage/properties/stop_reason,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/stop_reason,,api_only,Both in live API responses; optional in API conv format (absent ~1% of assistant messages). Absent from bulk export. No MCP counterpart.
,,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/input_mode,,api_only,claude.ai-specific input modality; no CLI or MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/chat_feedback,,api_only,user thumbs-up/down on assistant message; no MCP counterpart
,,browser-captures/apiConversation#/definitions/ApiCitation,,api_only,"API exposes citation detail (uuid, title, url, metadata, sources); absent from CLI sessions and MCP"
,code-agents/session#/definitions/ToolUseBlock/properties/caller,,,cli_only,Component that invoked the tool (e.g. {type: direct}). No MCP or conversations export counterpart.
,code-agents/session#/definitions/ToolResultBlock/properties/content,,_reference/mcp#/definitions/ToolResultContent/properties/content,structurally_similar,CLI: string or array. MCP: array of content items. Conv: structured via ToolResultContentItem/ToolResultSearchItem/ToolResultLocalResource.
chat-exports/conversations#/definitions/ThinkingBlock/properties/type,code-agents/session#/definitions/ThinkingBlock/properties/type,,,identical,
,code-agents/session#/definitions/ImageBlock,,_reference/mcp#/definitions/ImageContent,structurally_similar,"Both carry base64 image data but with different structure: CLI wraps in a source object {type, media_type, data}; MCP has top-level data and mimeType fields. No conversations export counterpart — images are not preserved in claude.ai exports."
,code-agents/session#/definitions/ImageBlock/properties/type,,_reference/mcp#/definitions/ImageContent/properties/type,identical,
,code-agents/session#/definitions/ImageBlock/properties/source,,,cli_only,"Nested source object {type: base64, media_type, data}. MCP uses top-level data + mimeType instead."
,code-agents/session#/definitions/DocumentBlock,,,cli_only,No counterpart in conversations export or MCP. Observed when Claude Code passes a file as context to the model via context injection.
,code-agents/session#/definitions/DocumentBlock/properties/source,,,cli_only,"Nested source object {type, media_type, data}. Only text/plain observed."
,code-agents/session#/definitions/DocumentBlock/properties/title,,,cli_only,Filename or display title of the document.
chat-exports/conversations#/definitions/Message/properties/sender,code-agents/session#/definitions/UserMessage/properties/role,,,name_collision,CLI uses role: user (API convention); conv uses sender: human (UI convention). Both identify the human turn.
chat-exports/conversations#/definitions/Message/properties/sender,code-agents/session#/definitions/AssistantMessage/properties/role,,,name_collision,CLI uses role: assistant (API convention); conv uses sender: assistant. Same value.
,code-agents/session#/definitions/AssistantMessage/properties/usage,,,cli_only,Full API usage object including cache metrics. Stripped from claude.ai export. No MCP counterpart.
,code-agents/session#/definitions/TurnBase/properties/cwd,,,cli_only,Working directory at turn time. Session management envelope with no MCP or conversations export counterpart.
,code-agents/session#/definitions/TurnBase/properties/gitBranch,,,cli_only,Git branch at turn time. Session management envelope with no MCP or conversations export counterpart.
chat-exports/conversations#/definitions/Message/properties/parent_message_uuid,code-agents/session#/definitions/TurnBase/properties/parentUuid,,,structurally_similar,Both thread conversations as a linked list. CLI uses parentUuid (UuidV4); conv uses parent_message_uuid (UuidV4 sentinel or UuidV7). No MCP counterpart — MCP is stateless.
,code-agents/session#/definitions/ModeRecord,,,cli_only,"Session lifecycle record capturing interaction mode (observed: ""normal""). No MCP or conversations export counterpart."
,code-agents/session#/definitions/SystemRecord,,,cli_only,"Harness system events sharing the turn envelope, discriminated by an open subtype set (model_refusal_fallback and api_error observed). No MCP or conversations export counterpart."
chat-exports/conversations#/definitions/Message/properties/attachments,code-agents/session#/definitions/AttachmentRecord,,,structurally_similar,"Both carry material submitted beside a turn; the CLI writes a standalone record sharing the turn envelope, the export inlines attachments (and files) on the Message."
chat-exports/conversations#/definitions/Conversation/properties/name,code-agents/session#/definitions/AiTitleRecord/properties/aiTitle,,,structurally_similar,Both are the conversation's display title. The CLI writes it heartbeat-fashion as repeated records (the dressing corpus-yoga agent reads); the export keeps one current value at the Conversation level.
,code-agents/session#/definitions/QueueOperation,,,cli_only,"Session lifecycle record: the session joined or left the prompt queue (enqueue/dequeue/popAll/remove), bracketing the conversational turns. No MCP or conversations export counterpart."
,code-agents/session#/definitions/PermissionModeRecord,,,cli_only,The active permission mode at a point in the session. No MCP or conversations export counterpart.
,code-agents/session#/definitions/LastPromptRecord,,,cli_only,"Text and position of the most recent user prompt, rewritten after each user turn. No MCP or conversations export counterpart."
,code-agents/session#/definitions/FileHistorySnapshot,,,cli_only,"Links the session to ~/.claude/file-history/ edit state, written per file edit or snapshot update. No MCP or conversations export counterpart."
,code-agents/session#/definitions/FileHistoryDelta,,,cli_only,"One tracked file's backup at edit time, linked to its owning FileHistorySnapshot (session v10; first observed 2026-07-14, harness 2.1.208). No MCP or conversations export counterpart."
,code-agents/session#/definitions/PrLinkRecord,,,cli_only,"Durable-thing publish record: a GitHub PR the session raised (first observed 2026-07-05, this repo's PRs #1-#3). No MCP or conversations export counterpart."
,code-agents/session#/definitions/FrameLinkRecord,,,cli_only,"Durable-thing publish record: a web Artifact the session published, one record per publish/redeploy; optional display title since session v8. No MCP or conversations export counterpart."
,code-agents/session#/definitions/FallbackBlock,,,cli_only,Content block recording a forced model switch mid-turn (session v7). The export's Message carries no fallback trace; only the involuntary direction is recorded anywhere.
,code-agents/session#/definitions/ModelId,browser-captures/apiConversation#/definitions/ApiConversation/properties/model,,structurally_similar,"Both name a real Claude model id, asymmetrically: the api side records ONE per conversation (the setting) and its observed values span five ids (sonnet-4-6, opus-4-8, opus-4-7, fable-5, opus-4-6 across 99 captures) — a superset of the CLI's three, since the web UI meets new and old models freely. The CLI stamps one per assistant record (the attribution), and per-record granularity is what makes fallback and switch forensics possible. Deliberate asymmetry: the session field is the closed ModelId enum (drift detector); the re-fetchable api field stays a bare string. The synthetic marker appears on neither api side (surveyed 2026-07-10: no nulls, no markers)."
,code-agents/session#/definitions/NotAModel,,,cli_only,"The ""<synthetic>"" marker on harness-authored records no model spoke (semantically null). No export or MCP counterpart — only the CLI log renders harness prose as agent speech."
,code-agents/session#/definitions/Entrypoint,,,cli_only,Which Claude Code surface wrote the record (cli / claude-vscode observed; likely an open set). No MCP or conversations export counterpart.
,code-agents/session#/definitions/TurnBase/properties/isSidechain,,,cli_only,Subagent conversation flag. No MCP or conversations export counterpart.
chat-exports/conversations#/definitions/Message/properties/uuid,code-agents/session#/definitions/TurnBase/properties/uuid,,,structurally_similar,Both assign a UUID to each message. CLI uses UuidV4; conv uses UuidV7.
,code-agents/session#/definitions/TurnBase/properties/sessionId,,,cli_only,Identifies the local CLI session. No MCP or conversations export counterpart (conversations export uses conversation uuid at the Conversation level).
chat-exports/conversations#/definitions/Message/properties/content,code-agents/session#/definitions/MessageContent,,,structurally_similar,CLI: string or array of ContentBlock. Conv: array only (always structured). The string shorthand is CLI-specific for short user prompts.
chat-exports/conversations#/definitions/SearchMcpRegistryToolUseBlock,,browser-captures/apiConversation#/definitions/SearchMcpRegistryToolUseBlock,,coupled_relaxation,Both schemas added search_mcp_registry in the same upgrade cycle (conv v8 / api v2); tool searches the MCP connector directory by keywords. Absent from CLI sessions and MCP protocol.
chat-exports/conversations#/definitions/SearchMcpRegistryToolResultBlock,,browser-captures/apiConversation#/definitions/SearchMcpRegistryToolResultBlock,,coupled_relaxation,Result block paired with SearchMcpRegistryToolUseBlock; same coupling as the use block.
,,browser-captures/apiConversation#/definitions/ApiMessageBase/properties/compaction_summary,,api_only,Injected by Anthropic when a long conversation is compacted to free context window space. Absent from bulk export and CLI.
chat-exports/conversations#/definitions/IntegrationName,,browser-captures/apiConversation#/definitions/IntegrationName,,coupled_relaxation,Both opened from closed enum to free string|null when 'File Creation' appeared (api v7 / conv v13). This row was missing when api v7 was minted — its absence is why the conv side lagged a cycle.
chat-exports/conversations#/definitions/ToolResultSearchItem,,browser-captures/apiConversation#/definitions/ApiToolResultSearchItem,,coupled_relaxation,"Same knowledge content item (web_search results; web_fetch fetched-page records since 2026-07). Coupling completed at conversations v14: text (web_search-only) dropped from required to match the api side, which had typed text/is_citable/prompt_context_metadata optional since its first observation. Row added at v14 — previously related only in prose notes, the IntegrationName lesson repeated."
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/tool_identifier,,,,envelope,"bulk-export-only as of 2026-07-07: the renderer re-rendered ALL history with this field (null on all 1843 tool_use blocks; sole difference from the 2026-07-05 rendering); absent from live captures and apiConversation — the api side gets it when a capture first exhibits it, not before (pending coupling, the IntegrationName lesson)"
chat-exports/conversations#/definitions/ToolUseBlockBase/properties/hidden_in_chat,,,,envelope,"bulk-export-only as of 2026-07-22 (conversations v17): null on all 1843 tool_use blocks of batch 128fd3c8; the SAME-DAY browser recapture (100 conversations, 43 with tool blocks) shows it in no live capture — the tool_identifier pattern, not the thinking_hidden coupling; the api side gets it when a capture first exhibits it, not before (pending coupling)"
chat-exports/conversations#/definitions/ToolResultBlockBase/properties/hidden_in_chat,,,,envelope,"the same field on the result envelope, same evidence and same pending coupling as the tool_use row above (null on all 1843 tool_result blocks, absent from all live captures 2026-07-22)"
,code-agents/sessionConversation#/definitions/SessionConversation,browser-captures/markdownConversation#/definitions/MarkdownConversation,,structurally_similar,both are lean role-tagged text projections of a richer source; the session side adds project/session_id/created/last_activity and has no url/summary
,code-agents/sessionConversation#/definitions/Message,browser-captures/markdownConversation#/definitions/MarkdownMessage,,structurally_similar,same role/uuid/content trio; the session side adds the record timestamp
chat-exports/conversations#/definitions/Message/properties/sender,code-agents/sessionConversation#/definitions/Message/properties/role,browser-captures/markdownConversation#/definitions/MarkdownMessage/properties/role,,identical,human|assistant — the one corpus role vocabulary; the session projection maps its user records to human
,code-agents/sessionConversation#/definitions/Message/properties/uuid,browser-captures/markdownConversation#/definitions/MarkdownMessage/properties/uuid,,structurally_similar,both the turn's durable anchor (heading id in the corpus render); session record uuids are v4 only where capture messages allow v7
chat-exports/memories#/properties/conversations_memory,code-agents/projectMemory#/definitions/Fact/properties/body,,,structurally_similar,chat memory is ONE mutable document per account; project memory is a folder of named facts — a fact body is the analogous free text and the granularity difference is the point
chat-exports/conversations#/definitions/ThinkingBlock/properties/thinking_hidden,,browser-captures/apiConversation#/definitions/ApiThinkingBlock/properties/thinking_hidden,,coupled_relaxation,surfaced in both formats between the 2026-07-08 and 2026-07-11 exports (conversations v16 + apiConversation v9); observed false only; the CLI session ThinkingBlock does not carry it
chat-exports/conversations#/definitions/Conversation/properties/account/properties/uuid,chat-exports/memories#/properties/account_uuid,chat-exports/users#/items/properties/uuid,chat-exports/projects#/properties/creator/properties/uuid,identical,"the one account-holder uuid under four dressings (account.uuid / account_uuid / uuid / creator.uuid); all four sides state the v4 pattern (conversations via UuidV4; memories v3, users v2, projects v3 minted 2026-08-25, #527); UserUUID's grounding edge (issue #19: grounding by property trail)"
chat-exports/conversations#/definitions/AskUserQuestion,,browser-captures/apiConversation#/definitions/AskUserQuestion,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/AskUserToolResultBlock,,browser-captures/apiConversation#/definitions/AskUserToolResultBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/AskUserToolUseBlock,,browser-captures/apiConversation#/definitions/AskUserToolUseBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/BashToolResultBlock,,browser-captures/apiConversation#/definitions/BashToolResultBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/BashToolUseBlock,,browser-captures/apiConversation#/definitions/BashToolUseBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/ConversationSearchToolResultBlock,,browser-captures/apiConversation#/definitions/ConversationSearchToolResultBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/ConversationSearchToolUseBlock,,browser-captures/apiConversation#/definitions/ConversationSearchToolUseBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/CreateFileToolResultBlock,,browser-captures/apiConversation#/definitions/CreateFileToolResultBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/CreateFileToolUseBlock,,browser-captures/apiConversation#/definitions/CreateFileToolUseBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/DisplayContentJsonBlock,,browser-captures/apiConversation#/definitions/DisplayContentJsonBlock,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/DisplayContentTable,,browser-captures/apiConversation#/definitions/DisplayContentTable,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/DisplayContentText,,browser-captures/apiConversation#/definitions/DisplayContentText,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/HasNameDiscriminatorProperty,,browser-captures/apiConversation#/definitions/HasNameDiscriminatorProperty,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
chat-exports/conversations#/definitions/HasTypeDiscriminatorProperty,code-agents/session#/definitions/HasTypeDiscriminatorProperty,browser-captures/apiConversation#/definitions/HasTypeDiscriminatorProperty,,identical,adopted 2026-08-25 from the worksheet's machine proposal: structurally equal at latest
